,x,y,cam
433,82944,44032,0.11823725
434,78848,31744,0.26650235
435,75776,41984,0.23648214
436,62464,52224,0.2491229
437,31744,62464,0.29638907
438,30720,15360,0.23784399
439,50176,26624,0.32697174
440,20480,17408,0.3209477
441,58368,32768,0.24225461
442,77824,59392,0.26342648
443,83968,40960,0.24409531
444,50176,18432,0.22933045
445,86016,31744,0.28802565
446,79872,63488,0.27423072
447,48128,16384,0.2553604
448,16384,18432,0.20185173
449,35840,17408,0.26874906
450,55296,44032,0.21669126
451,59392,24576,0.24541424
452,39936,45056,0.28118908
453,78848,25600,0.28894398
454,50176,32768,0.24002464
455,19456,50176,0.19391648
456,30720,18432,0.27223474
457,75776,49152,0.27612934
458,80896,33792,0.2611811
459,45056,43008,0.24437948
460,65536,52224,0.26587817
461,86016,46080,0.29130062
462,90112,48128,0.23322754
463,25600,16384,0.28696105
464,24576,18432,0.29348218
465,63488,52224,0.25535068
466,41984,36864,0.24812816
467,74752,56320,0.06668258
468,84992,57344,0.23700617
469,40960,19456,0.24828278
470,17408,19456,0.24804354
471,55296,43008,0.20481205
472,39936,36864,0.31053352
473,31744,35840,0.2163612
474,37888,61440,0.2499583
475,66560,56320,0.2454096
476,26624,22528,0.0731951
477,49152,60416,0.22676583
478,52224,30720,0.18781169
479,78848,50176,0.034287438
480,79872,26624,0.30724478
481,53248,30720,0.23037179
482,77824,39936,0.22302602
483,35840,15360,0.27275273
484,75776,45056,0.20411177
485,40960,12288,0.22087772
486,36864,35840,0.1987937
487,57344,26624,0.26572546
488,16384,22528,0.29638365
489,34816,19456,0.2686245
490,45056,50176,0.22232197
491,54272,24576,0.2463036
492,21504,34816,0.2910723
493,52224,37888,0.21800473
494,37888,30720,0.17242524
495,46080,16384,0.25220937
496,57344,56320,0.24127649
497,58368,48128,0.268976
498,91136,41984,0.2212925
499,80896,40960,0.22152697
500,83968,53248,0.2825039
501,69632,47104,0.25474912
502,39936,22528,0.16322559
503,91136,36864,0.27252418
504,67584,51200,0.22361715
505,76800,63488,0.2859325
506,22528,28672,0.19019283
507,77824,52224,0.009865734
508,35840,55296,0.24229248
509,49152,64512,0.20609681
510,88064,46080,0.23111247
511,28672,59392,0.25489578
512,81920,47104,0.056325514
513,40960,43008,0.23360352
514,38912,36864,0.2733419
515,66560,58368,0.30836338
516,48128,66560,0.22978318
517,15360,26624,0.2851025
518,64512,55296,0.24132328
519,70656,39936,0.26897907
520,46080,56320,0.20465837
521,56320,57344,0.22494273
522,44032,53248,0.22497924
523,81920,48128,0.03929171
524,54272,54272,0.2284299
525,38912,18432,0.23527391
526,22528,12288,0.26797593
527,37888,25600,0.12122736
528,87040,58368,0.2070363
529,43008,14336,0.22626153
530,63488,22528,0.25845766
531,58368,34816,0.18934372
532,53248,15360,0.27758917
533,37888,46080,0.25613838
534,14336,29696,0.23698857
535,49152,45056,0.11457729
536,76800,57344,0.2923442
537,62464,61440,0.30440477
538,26624,39936,0.2941388
539,23552,21504,0.16026394
540,61440,26624,0.19077615
541,70656,54272,0.21559684
542,71680,47104,0.25033164
543,21504,11264,0.2618481
544,29696,57344,0.21353236
545,67584,44032,0.2802258
546,57344,25600,0.26877216
547,53248,32768,0.23286276
548,46080,19456,0.25051242
549,78848,36864,0.27075896
550,71680,40960,0.23107114
551,51200,44032,0.26736262
552,37888,63488,0.20777051
553,89088,54272,0.21258162
554,19456,43008,0.21005479
555,70656,34816,0.2348955
556,47104,24576,0.27723056
557,58368,23552,0.24405833
558,50176,20480,0.24833241
559,28672,58368,0.23237889
560,22528,46080,0.26209837
561,32768,13312,0.26317355
562,76800,64512,0.29687405
563,53248,49152,0.37152323
564,87040,60416,0.23114045
565,34816,62464,0.23992656
566,32768,29696,0.1504375
567,75776,33792,0.24623464
568,14336,41984,0.20869882
569,25600,54272,0.260629
570,33792,32768,0.20545013
571,59392,21504,0.23532711
572,51200,40960,0.23375611
573,28672,43008,0.2578811
574,46080,29696,0.18160301
575,45056,13312,0.28909
576,18432,31744,0.29185626
577,20480,22528,0.27071425
578,34816,12288,0.25499436
579,59392,28672,0.238642
580,72704,27648,0.2773788
581,43008,66560,0.25344327
582,74752,48128,0.23734728
583,37888,39936,0.22726126
584,39936,57344,0.2490998
585,26624,14336,0.26976782
586,58368,53248,0.19582216
587,16384,25600,0.31092653
588,60416,59392,0.27637124
589,30720,46080,0.2217799
590,51200,28672,0.22303219
591,39936,18432,0.24502115
592,41984,24576,0.15084921
593,19456,32768,0.28624067
594,41984,62464,0.28034505
595,84992,56320,0.2459312
596,52224,25600,0.18344799
597,28672,13312,0.2607237
598,74752,55296,0.037274312
599,31744,41984,0.23087816
600,56320,19456,0.2682788
601,30720,38912,0.26342073
602,47104,14336,0.27888536
603,64512,47104,0.24345052
604,25600,43008,0.2542399
605,40960,27648,0.11910019
606,60416,21504,0.21945655
607,39936,61440,0.2999495
608,58368,44032,0.25022772
609,10240,36864,0.18919142
610,40960,65536,0.21935105
611,36864,54272,0.23530002
612,52224,60416,0.23766676
613,28672,31744,0.23851986
614,47104,61440,0.29856145
615,15360,22528,0.28930384
616,32768,28672,0.1541982
617,31744,23552,0.14477907
618,47104,16384,0.26790932
619,40960,39936,0.24955654
620,50176,63488,0.20749755
621,49152,62464,0.22492114
622,61440,50176,0.25559244
623,62464,26624,0.1983369
624,50176,41984,0.24441235
625,30720,56320,0.23342891
626,16384,27648,0.28123555
627,39936,34816,0.16757482
628,43008,31744,0.22529459
629,87040,55296,0.23472999
630,8192,29696,0.2631255
631,50176,53248,0.2677683
632,21504,16384,0.2898425
633,51200,58368,0.23793514
634,43008,29696,0.15730959
635,47104,54272,0.19734573
636,61440,55296,0.16548769
637,40960,13312,0.22721832
638,74752,40960,0.24232157
639,11264,36864,0.15046777
640,71680,46080,0.25791892
641,78848,30720,0.2551643
642,33792,63488,0.25201875
643,55296,32768,0.23182414
644,41984,66560,0.25936702
645,75776,34816,0.22724938
646,31744,58368,0.2656174
647,29696,38912,0.2622598
648,18432,16384,0.2906655
649,87040,30720,0.27508044
650,83968,52224,0.29117218
651,67584,56320,0.2534037
652,40960,57344,0.24473436
653,41984,39936,0.30047485
654,23552,22528,0.14188375
655,81920,57344,0.25560713
656,41984,59392,0.27511021
657,79872,38912,0.29156438
658,51200,14336,0.25934607
659,64512,54272,0.2601393
660,57344,22528,0.25179252
661,22528,27648,0.1332879
662,38912,12288,0.22985783
663,78848,46080,0.20499097
664,44032,33792,0.1915887
665,19456,45056,0.21361041
666,51200,54272,0.23775284
667,84992,40960,0.24270539
668,36864,48128,0.23598003
669,82944,62464,0.28863508
670,37888,26624,0.14468972
671,28672,55296,0.1822121
672,54272,34816,0.2045527
673,40960,47104,0.25309297
674,37888,54272,0.22892053
675,49152,57344,0.24785624
676,29696,52224,0.19594784
677,51200,48128,0.099789165
678,19456,41984,0.2350453
679,82944,33792,0.26519755
680,52224,19456,0.21892236
681,44032,64512,0.25911972
682,86016,55296,0.26186022
683,81920,28672,0.27442318
684,27648,14336,0.2685625
685,41984,18432,0.2391489
686,40960,53248,0.22553347
687,20480,46080,0.20089905
688,58368,52224,0.22538845
689,27648,27648,0.12119154
690,58368,22528,0.24376924
691,20480,45056,0.19487572
692,18432,14336,0.2497251
693,49152,16384,0.24364853
694,38912,53248,0.21862093
695,59392,32768,0.25613606
696,40960,60416,0.30625233
697,47104,17408,0.26635465
698,53248,19456,0.20862441
699,43008,45056,0.23265855
700,28672,27648,0.105453506
701,84992,54272,0.27765867
702,30720,23552,0.1444854
703,26624,15360,0.277091
704,24576,48128,0.25306043
705,40960,24576,0.14534019
706,49152,29696,0.23929894
707,38912,16384,0.24477361
708,18432,28672,0.25912294
709,36864,62464,0.20634745
710,50176,64512,0.20673218
711,72704,31744,0.26581544
712,54272,60416,0.33308464
713,34816,49152,0.19081841
714,69632,59392,0.30569378
715,29696,39936,0.2580053
716,82944,51200,0.37104136
717,81920,54272,0.25232756
718,35840,53248,0.24367562
719,37888,59392,0.24150518
720,31744,37888,0.23821628
721,28672,14336,0.2545856
722,73728,48128,0.23412605
723,32768,44032,0.26378673
724,50176,55296,0.24498661
725,29696,15360,0.24995263
726,71680,50176,0.22934392
727,37888,37888,0.2451613
728,54272,53248,0.27225444
729,51200,25600,0.25626156
730,79872,45056,0.14474957
731,86016,35840,0.22418562
732,51200,17408,0.24201334
733,63488,53248,0.25354755
734,83968,55296,0.26504454
735,74752,30720,0.28259936
736,48128,17408,0.2531657
737,22528,16384,0.27738684
738,82944,28672,0.24939735
739,49152,52224,0.24487065
740,68608,43008,0.29540828
741,65536,53248,0.26516196
742,29696,29696,0.22579055
743,50176,17408,0.23120128
744,61440,49152,0.2644219
745,79872,34816,0.25875956
746,88064,58368,0.21679969
747,9216,33792,0.18727621
748,49152,15360,0.26284668
749,56320,40960,0.22108133
750,24576,41984,0.2656939
751,72704,39936,0.24214832
752,29696,24576,0.18462582
753,27648,10240,0.2575892
754,33792,62464,0.23978865
755,30720,12288,0.28566024
756,31744,61440,0.277164
757,29696,30720,0.24469462
758,30720,47104,0.21403293
759,34816,26624,0.08468985
760,70656,55296,0.2620501
761,34816,60416,0.22317842
762,30720,59392,0.24279821
763,29696,44032,0.25457922
764,86016,61440,0.2822339
765,56320,55296,0.3393255
766,83968,38912,0.318981
767,44032,59392,0.27427873
768,23552,31744,0.21609159
769,79872,62464,0.27121046
770,11264,35840,0.18977383
771,46080,54272,0.21250622
772,70656,57344,0.23080687
773,21504,36864,0.2844887
774,45056,66560,0.21544008
775,76800,59392,0.28468382
776,75776,54272,0.073596396
777,56320,45056,0.2703283
778,33792,18432,0.2742958
779,81920,53248,0.2377595
780,23552,37888,0.2192856
781,46080,35840,0.1423259
782,46080,44032,0.2847351
783,80896,47104,0.029435813
784,51200,35840,0.2451551
785,20480,32768,0.2732391
786,33792,38912,0.2231094
787,34816,22528,0.17619549
788,48128,34816,0.25715026
789,55296,19456,0.25432068
790,71680,37888,0.26129827
791,19456,20480,0.29495543
792,61440,29696,0.25580126
793,37888,13312,0.2610843
794,38912,33792,0.18085077
795,55296,24576,0.27165514
796,26624,52224,0.21292181
797,52224,39936,0.21715572
798,35840,34816,0.18939608
799,43008,61440,0.31202778
800,75776,26624,0.27323267
801,41984,38912,0.33016744
802,35840,44032,0.26927024
803,13312,36864,0.14707354
804,45056,23552,0.20128517
805,80896,26624,0.2861508
806,53248,62464,0.26606753
807,88064,38912,0.2157127
808,49152,36864,0.17190063
809,79872,37888,0.2541354
810,68608,41984,0.29307267
811,30720,26624,0.10594704
812,37888,19456,0.25526485
813,23552,17408,0.28353775
814,26624,48128,0.2001026
815,38912,48128,0.24483211
816,43008,50176,0.22995673
817,89088,53248,0.26628038
818,80896,45056,0.07814684
819,48128,54272,0.21928568
820,28672,34816,0.19553706
821,60416,24576,0.23488832
822,19456,30720,0.26999414
823,60416,34816,0.17451885
824,46080,45056,0.26256236
825,56320,46080,0.26823813
826,35840,31744,0.13463026
827,87040,56320,0.22085331
828,29696,53248,0.2085632
829,80896,32768,0.24858725
830,30720,11264,0.3173449
831,6144,32768,0.14923804
832,20480,25600,0.20556568
833,66560,47104,0.2676355
834,68608,52224,0.23199616
835,48128,30720,0.18910544
836,37888,47104,0.23216037
837,31744,17408,0.235269
838,74752,36864,0.22136013
839,32768,58368,0.2552464
840,73728,29696,0.30922902
841,76800,55296,0.047663257
842,39936,16384,0.24358702
843,25600,34816,0.24620536
844,73728,38912,0.25266737
845,59392,29696,0.2382016
846,80896,36864,0.29012093
847,76800,54272,0.022174407
848,56320,26624,0.25760126
849,44032,39936,0.17417489
850,66560,53248,0.27775514
851,81920,38912,0.23761149
852,46080,25600,0.3195365
853,38912,40960,0.21704307
854,18432,49152,0.16756772
855,84992,37888,0.22779886
856,88064,51200,0.26631463
857,89088,45056,0.26657566
858,66560,50176,0.22614308
859,63488,50176,0.2790483
860,18432,25600,0.29576844
861,71680,31744,0.23422019
862,75776,31744,0.23622406
863,27648,29696,0.29635128
864,38912,27648,0.105951086
865,35840,24576,0.11303063
866,60416,23552,0.23830175
867,50176,65536,0.22403066
868,67584,54272,0.26182005
869,67584,61440,0.31350946
870,76800,48128,0.29225516
871,41984,12288,0.26368484
872,38912,34816,0.23082018
873,25600,12288,0.28350493
874,66560,61440,0.30685234
875,88064,40960,0.22937715
876,87040,49152,0.23327337
877,91136,34816,0.24791515
878,31744,40960,0.23581913
879,35840,35840,0.22286832
880,86016,47104,0.26945028
881,74752,26624,0.27646777
882,26624,35840,0.24303089
883,25600,23552,0.1616788
884,41984,29696,0.14614706
885,39936,21504,0.19506001
886,41984,61440,0.30439463
887,48128,29696,0.20667987
888,49152,30720,0.22685783
889,77824,62464,0.254215
890,28672,18432,0.29457664
891,66560,46080,0.27337843
892,46080,36864,0.09733385
893,80896,53248,0.21318093
894,78848,40960,0.2729481
895,87040,29696,0.2641616
896,58368,45056,0.2573434
897,25600,25600,0.21984147
898,22528,37888,0.23410673
899,76800,47104,0.25984856
900,57344,41984,0.21216922
901,38912,31744,0.19581302
902,41984,67584,0.2850234
903,61440,25600,0.22198427
904,89088,31744,0.253298
905,43008,15360,0.22750214
906,59392,20480,0.24184327
907,41984,41984,0.22907053
908,30720,21504,0.23889759
909,86016,33792,0.26131818
910,35840,52224,0.20638128
911,47104,65536,0.19916414
912,83968,39936,0.3461506
913,12288,36864,0.14006187
914,81920,55296,0.28409407
915,27648,22528,0.05906525
916,17408,45056,0.19539477
917,35840,26624,0.12391814
918,17408,24576,0.32001382
919,20480,20480,0.29692134
920,61440,59392,0.20073941
921,53248,16384,0.26813778
922,86016,60416,0.24770187
923,86016,39936,0.27256984
924,78848,47104,0.2000077
925,25600,50176,0.22598064
926,18432,46080,0.23558748
927,76800,28672,0.2715905
928,25600,51200,0.23046997
929,90112,43008,0.24359992
930,51200,24576,0.26253363
931,80896,51200,0.080462
932,46080,12288,0.28950855
933,29696,35840,0.21163206
934,41984,40960,0.2704611
935,75776,59392,0.27023283
936,47104,37888,0.059473254
937,88064,56320,0.19917329
938,87040,48128,0.23697822
939,52224,41984,0.21372537
940,54272,32768,0.2163194
941,27648,32768,0.21969096
942,22528,13312,0.2786398
943,43008,67584,0.27836394
944,89088,38912,0.21231435
945,74752,43008,0.24902563
946,75776,61440,0.2678524
947,77824,44032,0.26945502
948,32768,61440,0.2826459
949,41984,19456,0.25138855
950,18432,32768,0.27586424
951,76800,39936,0.24711828
952,59392,50176,0.266736
953,40960,23552,0.16421086
954,32768,14336,0.24725918
955,84992,30720,0.24137595
956,75776,38912,0.25674996
957,58368,28672,0.24449857
958,51200,45056,0.3363249
959,59392,27648,0.24365166
960,40960,44032,0.22017339
961,50176,37888,0.29097602
962,30720,43008,0.22438021
963,21504,49152,0.21772218
964,78848,29696,0.25974712
965,30720,27648,0.1310666
966,60416,20480,0.23866163
967,80896,37888,0.2698324
968,65536,45056,0.26256973
969,79872,29696,0.27122927
970,56320,31744,0.24769174
971,18432,23552,0.309454
972,27648,34816,0.21787088
973,74752,31744,0.2652115
974,35840,50176,0.20842467
975,90112,49152,0.2245109
976,22528,44032,0.2583399
977,44032,41984,0.25400335
978,76800,40960,0.23163949
979,53248,47104,0.25430316
980,50176,40960,0.2516659
981,69632,38912,0.26491463
982,33792,40960,0.2672308
983,61440,30720,0.23642527
984,57344,61440,0.3218983
985,32768,45056,0.25723535
986,25600,28672,0.1727085
987,46080,30720,0.16604841
988,29696,26624,0.09240636
989,89088,37888,0.24156094
990,48128,52224,0.23722866
991,29696,50176,0.21992445
992,75776,30720,0.25471127
993,4096,28672,0.24777754
994,20480,28672,0.1742581
995,22528,34816,0.2697854
996,73728,41984,0.25573125
997,46080,51200,0.23546854
998,60416,47104,0.24802302
